TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"8567623","One Piece Card Game","Royal Blood","Lim","","OP10-037","R","Near Mint Foil","0.21","","1.4000","0.0900","","0","",""
"8567628","One Piece Card Game","Royal Blood","Lim (Parallel)","","OP10-037","R","Near Mint Foil","13.11","","13.5200","12.3000","","0","",""
"8567878","One Piece Card Game","Royal Blood","Little Black Bears","","OP10-080","C","Near Mint","0.11","","1.3300","0.0200","","0","",""
"8567738","One Piece Card Game","Royal Blood","Mansherry","","OP10-056","UC","Near Mint","0.16","","1.4400","0.1300","","0","",""
"8567733","One Piece Card Game","Royal Blood","Marco","","OP10-055","R","Near Mint Foil","0.14","","1.3900","0.0800","","0","",""
"8567488","One Piece Card Game","Royal Blood","Mocha","","OP10-015","UC","Near Mint","0.15","","1.4400","0.1300","","0","",""
"8567493","One Piece Card Game","Royal Blood","Monet","","OP10-016","SR","Near Mint Foil","0.84","","1.9900","0.6800","","0","",""
"8567498","One Piece Card Game","Royal Blood","Monet (Parallel)","","OP10-016","SR","Near Mint Foil","14.28","","13.9900","13.0000","","0","",""
"8568048","One Piece Card Game","Royal Blood","Monkey.D.Luffy (111)","","OP10-111","R","Near Mint Foil","0.34","","1.4900","0.1800","","0","",""
"8568053","One Piece Card Game","Royal Blood","Monkey.D.Luffy (111) (Parallel)","","OP10-111","R","Near Mint Foil","21.76","","21.9800","20.7600","","0","",""
"8568093","One Piece Card Game","Royal Blood","Monkey.D.Luffy (118)","","OP10-118","SEC","Near Mint Foil","5.66","","6.2900","5.3000","","0","",""
"8568098","One Piece Card Game","Royal Blood","Monkey.D.Luffy (118) (Parallel)","","OP10-118","SEC","Near Mint Foil","42.76","","30.9000","30.9000","","0","",""
"8567663","One Piece Card Game","Royal Blood","Moocy","","OP10-043","C","Near Mint","0.16","","1.3300","0.0200","","0","",""
"8567478","One Piece Card Game","Royal Blood","Nami (013)","","OP10-013","C","Near Mint","0.14","","1.3300","0.0200","","0","",""
"8567603","One Piece Card Game","Royal Blood","Nami (033)","","OP10-033","UC","Near Mint","0.19","","1.4400","0.1300","","0","",""
"8567923","One Piece Card Game","Royal Blood","Nami (088)","","OP10-088","UC","Near Mint","0.19","","1.3300","0.0200","","0","",""
"8567928","One Piece Card Game","Royal Blood","Nico Robin","","OP10-089","C","Near Mint","0.15","","1.3300","0.0200","","0","",""
"8567618","One Piece Card Game","Royal Blood","Perona (036)","","OP10-036","C","Near Mint","0.10","","1.3800","0.0700","","0","",""
"8567948","One Piece Card Game","Royal Blood","Perona (092)","","OP10-092","C","Near Mint","0.14","","1.3300","0.0200","","0","",""
"8567848","One Piece Card Game","Royal Blood","Pica","","OP10-074","UC","Near Mint","0.10","","1.3300","0.0200","","0","",""
"8588834","One Piece Card Game","Royal Blood","Portgas.D.Ace (TR)","","OP08-052","TR","Near Mint Foil","34.86","","30.9800","25.9900","","0","",""
"8567528","One Piece Card Game","Royal Blood","Punk Hazard","","OP10-021","C","Near Mint","0.15","","1.3300","0.0200","","0","",""
"8567648","One Piece Card Game","Royal Blood","Radio Knife","","OP10-041","R","Near Mint Foil","0.18","","1.4400","0.1300","","0","",""
"8567748","One Piece Card Game","Royal Blood","Rebecca","","OP10-058","SR","Near Mint Foil","2.29","","3.2700","1.9600","","0","",""
"8567753","One Piece Card Game","Royal Blood","Rebecca (Parallel)","","OP10-058","SR","Near Mint Foil","26.09","","26.0000","25.0000","","0","",""
"8567503","One Piece Card Game","Royal Blood","Rock","","OP10-017","C","Near Mint","0.11","","1.3300","0.0200","","0","",""
"8568088","One Piece Card Game","Royal Blood","ROOM","","OP10-117","UC","Near Mint","0.20","","1.4800","0.1700","","0","",""
"8567633","One Piece Card Game","Royal Blood","Roronoa Zoro (038)","","OP10-038","C","Near Mint","0.11","","1.3900","0.0800","","0","",""
"8567963","One Piece Card Game","Royal Blood","Roronoa Zoro (095)","","OP10-095","R","Near Mint Foil","0.20","","1.4500","0.1400","","0","",""
"8568068","One Piece Card Game","Royal Blood","Roronoa Zoro (113)","","OP10-113","UC","Near Mint","0.22","","1.4900","0.1800","","0","",""
"8567958","One Piece Card Game","Royal Blood","Ryuma","","OP10-094","UC","Near Mint","0.13","","1.3300","0.0200","","0","",""
